Entity,Code,Year,Daily caloric intake per person that comes from animal protein,Daily caloric intake per person that comes from vegetal protein,Daily caloric intake per person from fat,Daily caloric intake per person from carbohydrates
Kiribati,KIR,1990,112.065.475,12.922.491,79.615.625,14.400.885
Kuwait,KWT,1990,12.948.317,18.945.276,75.380.164,1.770.776
Land Locked Developing Countries (FAO),0,1990,50.68,175.36,364.41,15.505.499
Laos,LAO,1990,25.424.099,16.541.406,19.738.115,15.943.489
Least Developed Countries (FAO),0,1990,37.64,160.64,291.51,1501.21
Lebanon,LBN,1990,7.292.832,1.712.191,69.785.095,14.896.979
Lesotho,LSO,1990,3.538.865,20.039.355,28.140.372,15.542.582
Liberia,LBR,1990,27.142.399,121.588.806,3.466.366,15.631.527
Low Income Food Deficit Countries (FAO),0,1990,39.32,172.64,359.46,15.935.801
Low-income countries,0,1990,45.140.667,17.280.972,35.395.422,15.165.483
Lower-middle-income countries,0,1990,42.408.867,17.615.126,37.705.176,16.480.208
Macao,MAC,1990,1.744.084,1.474.372,102.230.585,15.698.502
Madagascar,MDG,1990,61.797.546,13.953.032,28.491.003,16.426.681
Malawi,MWI,1990,19.409.605,18.811.472,23.734.181,14.495.509
Malaysia,MYS,1990,14.292.628,11.810.027,84.302.386,1.648.892
Maldives,MDV,1990,14.105.824,13.752.507,37.458.392,15.455.056
Mali,MLI,1990,67.130.646,17.329.321,45.449.402,14.419.021
Malta,MLT,1990,1.955.276,18.764.572,9.622.643,17.539.395
Mauritania,MRT,1990,127.653.046,17.991.695,5.817.031,16.300.887
Mauritius,MUS,1990,10.522.266,16.356.776,6.436.558,17.849.498
Mexico,MEX,1990,12.260.537,20.514.279,7.107.003,2.088.831
Micronesia (FAO),0,1990,118.6,136.76,842.58,15.240.599
Middle Africa (FAO),0,1990,56.68,122.2,40.005.002,1268.07
Mongolia,MNG,1990,19.659.071,10.936.975,7.377.002,12.379.072
Morocco,MAR,1990,60.736.443,2.888.998,5.214.115,2.235.067
Mozambique,MOZ,1990,14.441.571,11.271.768,34.109.033,13.757.024
Myanmar,MMR,1990,31.387.758,1.432.408,3.695.625,1237.39
Namibia,NAM,1990,80.785.324,16.169.469,3.169.294,15.708.176
Nepal,NPL,1990,33.569.447,17.213.112,29.938.293,15.122.223
Net Food Importing Developing Countries (FAO),0,1990,52.32,171.84,383.49,1611.35
Netherlands,NLD,1990,25.610.178,12.593.862,12.670.581,16.189.291
Netherlands Antilles,ANT,1990,12.990.804,8.278.428,46.769.177,98.889.984
New Caledonia,NCL,1990,16.953.384,11.900.925,8.568.495,14.723.533
New Zealand,NZL,1990,26.680.807,13.834.492,12.016.265,16.508.073
Nicaragua,NIC,1990,5.085.606,1.320.535,34.028.345,11.739.666
Niger,NER,1990,503.554,17.885.616,31.046.942,1.570.466
Nigeria,NGA,1990,28.680.805,1.705.584,47.856.577,1.523.467
North America,0,1990,220.277,16.533.656,1.054.061,18.374.774
North Korea,PRK,1990,6.489.413,22.916.832,40.404.465,16.028.967
Northern Africa (FAO),0,1990,64.68,248.36,539.37,19.985.898
Northern America (FAO),0,1990,272.68,154.12,1241.46,1778.74
Northern Europe (FAO),0,1990,228.68,155.2,1202.4,1627.72
Norway,NOR,1990,2.375.083,15.174.142,11.503.859,16.151.464
Oceania,0,1990,2.725.333,14.741.405,11.342.747,1.577.542
Oceania (FAO),0,1990,273.16,147.76,1136.79,15.812.899
Oman,OMN,1990,11.791.648,14.391.508,5.510.259,15.392.133
Pakistan,PAK,1990,7.015.012,15.831.906,48.927.985,15.365.266
Panama,PAN,1990,120.270.966,113.408.775,62.042.883,14.187.365
Paraguay,PRY,1990,12.924.228,14.921.913,6.426.516,16.115.918
Peru,PER,1990,80.474,12.478.787,36.594.397,14.199.644
Philippines,PHL,1990,7.970.189,12.410.148,36.979.868,16.977.007
Poland,POL,1990,21.740.866,18.738.118,9.980.031,19.517.468
Portugal,PRT,1990,21.449.232,18.857.599,10.966.172,1.866.471
Romania,ROU,1990,1.890.947,20.477.412,9.444.193,18.620.751
Rwanda,RWA,1990,135.232.525,16.511.774,14.716.887,14.671.053
Saint Kitts and Nevis,KNA,1990,16.249.564,11.885.694,7.484.721,14.888.777
Saint Lucia,LCA,1990,1.636.044,12.683.414,5.174.309,16.134.214
Saint Vincent and the Grenadines,VCT,1990,12.406.268,10.501.746,61.823.987,13.903.392
Samoa,WSM,1990,15.691.228,113.304,1.011.276,12.187.157
Sao Tome and Principe,STP,1990,56.149.887,14.212.454,6.815.562,12.724.521
Saudi Arabia,SAU,1990,12.312.891,20.024.648,7.901.109,17.895.614
Senegal,SEN,1990,72.188.614,19.359.311,4.225.726,15.421.141
Sierra Leone,SLE,1990,26.171.976,12.547.593,46.108.478,12.099.585
Small Island Developing States (FAO),0,1990,96.6,134.48,581.76,1580.2
Solomon Islands,SLB,1990,8.145.892,116.914.345,39.428.278,14.390.049
South Africa,ZAF,1990,98.206.764,17.497.116,553.368,17.845.878
South America,0,1990,12.330.117,13.618.842,65.398.035,16.744.094
South America (FAO),0,1990,123.84,136.8,656.91,16.814.501
South Korea,KOR,1990,10.491.704,21.852.197,5.036.836,20.519.988
South-eastern Asia (FAO),0,1990,52.04,141.44,36.747.003,1617.05
Southern Africa (FAO),0,1990,102.12,188.72,57.222.003,18.919.401
Southern Asia (FAO),0,1990,38.68,178.24,363.69,1661.39
Southern Europe (FAO),0,1990,226.84,201.76,1223.46,18.169.401
Spain,ESP,1990,24.815.604,17.564.888,12.236.934,16.119.243
Sri Lanka,LKA,1990,4.007.738,1.480.245,3.875.221,16.064.785
Sudan (former),0,1990,84.643.936,1.583.383,49.596.057,1.238.748
Suriname,SUR,1990,11.402.433,14.139.647,42.720.667,17.282.122
Sweden,SWE,1990,25.567.644,12.759.792,11.026.046,14.908.052
Switzerland,CHE,1990,25.384.665,14.128.224,13.934.319,16.331.187
Taiwan,TWN,1990,15.559.618,17.914.395,10.116.209,15.499.371
Tanzania,TZA,1990,4.636.815,1.708.853,2.882.158,16.213.584
Thailand,THA,1990,777.821,12.396.778,42.000.488,16.117.142
Togo,TGO,1990,31.899.292,15.926.192,37.513.922,14.772.479
Trinidad and Tobago,TTO,1990,9.401.447,14.858.609,5.644.342,17.266.476
Tunisia,TUN,1990,7.136.409,2.513.743,75.860.486,19.586.669
Turkey,TUR,1990,10.599.389,3.283.584,84.015.857,2.477.617
USSR,OWID_USS,1990,22.534.874,20.228.218,9.480.478,19.943.584
Uganda,UGA,1990,45.306.587,17.033.841,30.752.444,17.999.897
United Arab Emirates,ARE,1990,21.590.338,16.788.683,96.540.625,15.753.647
United Kingdom,GBR,1990,21.516.391,1.616.841,12.355.464,16.407.604
United States,USA,1990,28.413.092,15.847.972,1.284.406,18.564.226
Upper-middle-income countries,0,1990,9.245.256,19.304.822,58.714.636,18.285.679
Uruguay,URY,1990,17.516.512,126.395.065,77.037.335,14.493.428
Vanuatu,VUT,1990,9.383.062,13.529.066,8.991.841,13.723.506
Venezuela,VEN,1990,9.799.245,12.330.016,6.307.739,15.087.877
Vietnam,VNM,1990,39.175.518,14.648.596,23.931.668,15.369.286
Western Africa (FAO),0,1990,40.32,168.44,444.6,1545.64
Western Asia (FAO),0,1990,101.56,269.16,755.37,2146.95
Western Europe (FAO),0,1990,265.88,148.08,13.416.301,16.184.099
World,OWID_WRL,1990,9.953.335,17.851.305,5.978.214,17.091.587
Yemen,YEM,1990,38.327.053,15.877.342,3.259.827,12.822.021
Yugoslavia,OWID_YGS,1990,17.811.722,2.483.759,1.039.238,22.219.458
Zambia,ZMB,1990,43.193.195,16.848.613,33.408.383,15.771.946
Zimbabwe,ZWE,1990,4.042.506,17.022.383,45.990.228,1.411.691
Afghanistan,AFG,1991,7.624.595,20.385.461,43.437.656,1.684.641
Africa,0,1991,4.806.328,18.450.949,41.915.335,16.602.981
Africa (FAO),0,1991,50.24,185.48,42.705.002,1659.23
Albania,ALB,1991,111.823.586,21.815.657,6.467.368,17.182.815
Algeria,DZA,1991,7.532.899,22.862.143,61.775.946,18.907.783
Americas (FAO),0,1991,179.36,155.68,897.21,1754.79
Angola,AGO,1991,41.013.626,7.693.975,33.188.107,9.535.842
Antigua and Barbuda,ATG,1991,20.224.782,105.351.204,93.054.065,1.228.068
Argentina,ARG,1991,24.149.536,13.851.115,94.205.365,16.851.425
Asia,0,1991,59.275.623,18.551.833,44.609.103,1.712.406
Asia (FAO),0,1991,59.28,185.36,44.594.998,1711.41
Australia,AUS,1991,28.363.358,14.314.069,11.571.107,15.462.744
Austria,AUT,1991,26.558.115,14.544.203,14.275.931,17.037.937
Bahamas,BHS,1991,19.286.273,10.425.932,7.676.504,13.999.377
Bangladesh,BGD,1991,2.056.951,16.173.833,17.335.144,17.737.477
Barbados,BRB,1991,21.833.208,14.793.343,9.319.805,17.145.443
Belgium-Luxembourg (FAO),0,1991,261.64,160.36,14.091.301,17.288.699
Belize,BLZ,1991,10.164.652,15.736.569,6.117.228,17.113.981
Benin,BEN,1991,2.886.704,17.261.473,34.907.773,16.017.388
Bermuda,BMU,1991,27.698.843,12.456.604,10.800.559,14.118.037
Bolivia,BOL,1991,750.541,13.063.406,34.154.605,13.924.572
Botswana,BWA,1991,119.442.154,1.596.966,5.803.143,14.360.824
Brazil,BRA,1991,12.288.501,14.808.914,73.507.745,17.495.337
Brunei,BRN,1991,15.546.387,1.590.247,61.946.857,17.112.375
Bulgaria,BGR,1991,1.559.362,2.088.374,86.901.953,18.153.854
Burkina Faso,BFA,1991,38.267.723,21.870.586,3.783.286,15.225.723
Cambodia,KHM,1991,37.514.587,15.552.753,211.293,16.304.058
Cameroon,CMR,1991,4.495.929,15.792.743,38.829.633,15.354.126
Canada,CAN,1991,22.930.464,15.540.248,11.736.768,1.482.922
Cape Verde,CPV,1991,71.858.406,15.020.726,6.051.753,13.642.473
Caribbean (FAO),0,1991,91,130.88,536.76,1577.4
Central African Republic,CAF,1991,6.140.855,10.854.465,54.610.626,12.500.013
Central America (FAO),0,1991,104.36,189.84,656.82,1860.98
Chad,TCD,1991,50.994.835,16.884.415,43.964.746,11.704.718
Chile,CHL,1991,11.394.286,16.200.446,5.939.138,17.108.198
China,CHN,1991,57.683.743,1.979.114,4.848.648,17.162.935
China (FAO),0,1991,59.8,195.2,494.73,1694.27
Colombia,COL,1991,10.862.931,11.981.474,5.392.582,18.520.969
Congo,COG,1991,7.933.581,10.431.781,45.308.807,13.596.235
Costa Rica,CRI,1991,13.082.213,13.382.281,644.904,17.472.273
Cote d'Ivoire,CIV,1991,62.157.314,15.916.162,434.696,19.605.892
Cuba,CUB,1991,119.876.785,12.981.001,66.017.004,18.187.864
Cyprus,CYP,1991,18.257.364,13.604.831,10.033.416,13.678.422
Czechoslovakia,OWID_CZS,1991,19.769.267,17.425.117,10.525.275,18.767.402
Denmark,DNK,1991,2.868.393,13.828.395,11.611.056,16.381.057
Djibouti,DJI,1991,42.288.776,9.924.599,23.743.547,10.907.599
Dominica,DMA,1991,16.846.205,13.750.412,7.468.087,19.280.138
Dominican Republic,DOM,1991,8.336.098,11.399.166,55.025.555,14.278.207
East Timor,TLS,1991,772.713,1.433.602,3.006.582,14.225.603
Eastern Africa (FAO),0,1991,38.76,159.96,290.79,1428.53
Eastern Asia (FAO),0,1991,75.48,193.24,517.77,1715.51
Eastern Europe (FAO),0,1991,201.4,195.6,843.12,18.269.199
Ecuador,ECU,1991,8.772.591,100.175.064,6.529.704,12.863.458
Egypt,EGY,1991,5.009.245,2.798.362,48.775.513,22.871.472
El Salvador,SLV,1991,58.014.233,18.135.406,4.410.373,1.709.701
Eswatini,SWZ,1991,657.983,16.345.894,384.292,16.644.679
Ethiopia (former),OWID_ERE,1991,29.556.486,17.047.311,21.862.798,12.412.365
Europe,0,1991,22.360.843,18.238.701,10.677.036,17.658.373
Europe (FAO),0,1991,223.64,181.76,10.699.199,1761.68
European Union (27),0,1991,24.822.502,17.003.279,12.553.867,1722.53
European Union (27) (FAO),0,1991,247.24,168.88,12.527.999,17.140.802
Fiji,FJI,1991,119.347.435,14.174.849,8.477.376,14.402.795
Finland,FIN,1991,24.316.426,14.394.046,11.173.468,15.995.392
France,FRA,1991,32.138.858,15.599.704,14.831.715,16.087.472
French Polynesia,PYF,1991,20.892.381,13.215.717,81.535.974,14.415.125
Gabon,GAB,1991,14.496.664,14.242.337,43.151.855,17.454.087
Gambia,GMB,1991,49.361.855,15.064.299,4.388.966,1.590.965
Germany,DEU,1991,23.783.282,14.641.176,12.884.641,1701.26
Ghana,GHA,1991,534.745,1.100.253,2.858.398,15.350.276
Greece,GRC,1991,22.644.559,21.757.079,12.522.351,1.792.533
Grenada,GRD,1991,1.606.767,106.527.695,7.253.831,13.752.292
Guatemala,GTM,1991,40.142.803,18.881.552,3.711.161,16.625.908
Guinea,GIN,1991,25.040.306,18.300.163,40.544.556,17.109.597
Guinea-Bissau,GNB,1991,36.073.494,16.021.492,51.621.545,17.164.447
Guyana,GUY,1991,8.667.037,15.118.735,28.779.034,17.742.651
Haiti,HTI,1991,24.682.795,15.105.376,2.630.812,13.621.226
High-income countries,0,1991,23.833.565,1.665.681,1.136.416,17.531.346
Honduras,HND,1991,60.384.956,15.445.508,4.813.818,15.129.126
Hong Kong,HKG,1991,2.380.579,12.887.553,12.682.515,15.155.233
Hungary,HUN,1991,22.445.718,15.620.845,11.280.833,16.947.838
Iceland,ISL,1991,3.129.484,14.571.585,10.709.935,1.575.321
India,IND,1991,34.060.368,1.888.077,35.742.447,17.099.679
Indonesia,IDN,1991,38.247.772,15.507.019,38.650.842,1.730.692
Iran,IRN,1991,68.818.665,24.007.248,5.641.565,2.041.637
Iraq,IRQ,1991,23.816.366,22.298.578,31.225.677,18.185.409
Ireland,IRL,1991,28.996.045,17.576.909,11.978.888,19.472.593
Israel,ISR,1991,21.588.947,21.697.885,102.238.513,17.594.221
Italy,ITA,1991,24.397.968,20.649.979,1.372.701,1.828.706
Jamaica,JAM,1991,1.301.526,1.348.122,6.257.572,16.542.826
Japan,JPN,1991,21.594.717,16.515.468,74.470.917,17.757.688
Jordan,JOR,1991,9.692.294,19.762.862,65.944.073,17.691.912
Kenya,KEN,1991,7.028.437,15.690.358,43.246.774,13.923.318
Kiribati,KIR,1991,11.718.898,13.000.536,7.930.552,1.511.749
Kuwait,KWT,1991,80.985.146,20.007.391,59.381.635,19.619.934
Land Locked Developing Countries (FAO),0,1991,51.12,172.16,356.58,1532.14
Laos,LAO,1991,25.881.805,16.446.962,19.012.491,15.793.712
Least Developed Countries (FAO),0,1991,36.96,161.44,294.21,1499.39
Lebanon,LBN,1991,7.775.506,17.259.222,6.992.551,15.129.213
Lesotho,LSO,1991,35.451.756,19.875.764,2.893.536,15.978.829
Liberia,LBR,1991,31.066.004,13.777.283,58.804.877,17.477.822
Low Income Food Deficit Countries (FAO),0,1991,38.88,178.4,36.188.998,1639.83
Low-income countries,0,1991,4.410.925,16.980.385,34.984.283,14.926.965
Lower-middle-income countries,0,1991,42.202.312,18.078.268,37.800.943,16.872.872
Macao,MAC,1991,18.377.043,14.010.867,10.405.818,1479.46
Madagascar,MDG,1991,59.736.477,13.567.992,27.799.615,15.641.183
Malawi,MWI,1991,1.854.666,1.835.019,23.199.042,14.451.855
Malaysia,MYS,1991,15.319.017,12.411.394,78.374.963,16.897.649
Maldives,MDV,1991,14.404.817,13.961.122,39.054.803,15.901.334
Mali,MLI,1991,6.326.526,17.343.591,45.615.143,14.207.417
Malta,MLT,1991,22.626.263,19.130.077,10.272.727,18.122.242
Mauritania,MRT,1991,12.717.795,18.716.145,53.994.226,1.681.623
Mauritius,MUS,1991,11.118.441,16.139.923,65.091.626,17.739.022
Mexico,MEX,1991,12.332.834,20.916.048,7.630.941,20.561.223
Micronesia (FAO),0,1991,124.72,138.36,844.02,1608.9
Middle Africa (FAO),0,1991,52.16,127.4,40.544.998,1277.99
Mongolia,MNG,1991,21.501.749,10.045.172,76.823.785,11.221.177
Morocco,MAR,1991,594.108,2.876.416,5.218.456,22.203.027
Mozambique,MOZ,1991,14.999.297,10.884.735,34.108.035,12.890.482
Myanmar,MMR,1991,31.255.264,14.453.983,35.143.243,12.521.771
Namibia,NAM,1991,8.313.682,16.121.997,3.187.533,15.784.812
Nepal,NPL,1991,3.309.638,17.415.263,29.338.446,15.471.357
Net Food Importing Developing Countries (FAO),0,1991,51.92,171.12,381.96,1601.04
Netherlands,NLD,1991,268.082,12.806.236,12.465.454,16.893.632
New Caledonia,NCL,1991,17.282.248,120.010.345,9.306.859,14.776.605
New Zealand,NZL,1991,24.898.732,13.932.047,11.554.514,16.195.557
Nicaragua,NIC,1991,49.035.034,1.380.579,36.385.602,12.124.716
Niger,NER,1991,4.764.595,1.646.288,28.949.084,1.435.589
Nigeria,NGA,1991,28.395.697,17.394.875,48.563.873,16.605.859
North America,0,1991,21.960.417,16.963.745,10.688.882,18.321.908
North Korea,PRK,1991,59.406.105,22.954.301,40.116.605,16.099.774
Northern Africa (FAO),0,1991,64.28,250.96,533.88,20.078.401
Northern America (FAO),0,1991,273.12,159.56,1258.11,17.842.102
Northern Europe (FAO),0,1991,227.48,153.12,1200.33,16.111.101
Norway,NOR,1991,23.596.632,15.488.416,11.933.418,16.378.939
Oceania,0,1991,26.527.786,14.155.641,1125.68,1.547.856
Oceania (FAO),0,1991,266.28,142.08,1129.86,1553.78
Oman,OMN,1991,122.298.676,13.216.533,6.456.785,14.202.701
Pakistan,PAK,1991,7.118.016,14.561.845,4.808.111,14.335.789
Panama,PAN,1991,13.167.638,10.898.616,5.888.906,14.039.526
Paraguay,PRY,1991,16.138.675,13.226.433,6.783.202,15.281.217
Peru,PER,1991,7.200.067,13.963.411,3.974.792,15.351.685
Philippines,PHL,1991,8.309.105,12.316.648,38.451.263,16.385.913
Poland,POL,1991,22.122.665,18.927.347,10.010.226,18.840.248
Portugal,PRT,1991,21.893.414,19.127.931,10.826.512,19.133.693
Romania,ROU,1991,18.200.154,18.163.345,8.758.773,1.748.176
Rwanda,RWA,1991,14.496.398,15.983.304,15.394.505,14.893.279
Saint Kitts and Nevis,KNA,1991,15.254.968,12.347.912,76.625.586,15.029.055
Saint Lucia,LCA,1991,18.544.151,12.935.886,5.709.371,16.059.634
Saint Vincent and the Grenadines,VCT,1991,12.362.334,106.581.085,61.912.195,14.169.099
Samoa,WSM,1991,15.852.435,10.723.821,98.421.576,12.492.008
Sao Tome and Principe,STP,1991,49.403.336,14.992.567,6.189.552,13.535.911
Saudi Arabia,SAU,1991,121.461.945,20.307.986,7.542.823,18.009.618
Senegal,SEN,1991,6.988.126,18.225.897,5.541.828,14.324.359
Sierra Leone,SLE,1991,29.401.127,126.195.274,47.281.567,12.147.128
Small Island Developing States (FAO),0,1991,92.12,134.28,544.23,1586.37
Solomon Islands,SLB,1991,8.147.072,1.236.863,40.926.636,14.761.714
South Africa,ZAF,1991,92.615.776,17.587.048,5.538.427,17.722.396
South America,0,1991,12.804.506,14.042.883,6.820.556,16.945.679
South America (FAO),0,1991,128.68,141.12,68.535.004,17.028.499
South Korea,KOR,1991,10.546.769,19.163.539,5.196.965,2.058.706
South-eastern Asia (FAO),0,1991,54.24,142.08,374.58,16.121.001
Southern Africa (FAO),0,1991,97.32,189.16,575.01,1882.51
Southern Asia (FAO),0,1991,38.88,185,365.04,1710.08
Southern Europe (FAO),0,1991,226.28,204.32,1256.76,1812.64
Spain,ESP,1991,25.600.192,17.561.157,13.676.956,16.085.867
Sri Lanka,LKA,1991,4.485.782,14.902.942,39.139.856,16.163.312
Sudan (former),0,1991,88.039.955,17.281.917,52.062.445,13.214.868
Suriname,SUR,1991,11.739.069,14.157.573,47.241.214,17.973.265
Sweden,SWE,1991,25.327.103,12.428.929,11.045.264,14.677.285
Switzerland,CHE,1991,25.546.053,1.384.224,1.367.293,1.561.517
Taiwan,TWN,1991,1.611.687,17.572.029,11.039.939,14.959.427
Tanzania,TZA,1991,4.215.345,17.687.996,2.938.793,16.721.324
Thailand,THA,1991,8.729.499,12.920.964,4.343.853,16.527.844
Togo,TGO,1991,29.348.375,14.646.906,34.867.273,13.560.664
Trinidad and Tobago,TTO,1991,10.204.446,14.202.182,6.214.033,17.059.196
Tunisia,TUN,1991,7.062.054,2.609.487,6.813.435,19.884.601
Turkey,TUR,1991,10.569.052,32.830.762,8.332.955,24.290.955
USSR,OWID_USS,1991,20.115.645,1.997.587,7.981.862,18.280.297
Uganda,UGA,1991,423.628,16.205.768,30.033.627,17.652.498
United Arab Emirates,ARE,1991,21.265.129,1.681.526,94.701.263,15.915.404
United Kingdom,GBR,1991,21.313.638,15.876.813,12.323.201,16.161.101
United States,USA,1991,2.840.149,16.350.887,12.951.742,18.565.406
Upper-middle-income countries,0,1991,91.394.806,18.815.407,5.727.927,17.638.157
Uruguay,URY,1991,21.057.317,12.386.656,85.668.713,1.504.929
Vanuatu,VUT,1991,9.663.594,13.415.802,88.360.394,1.385.447
Venezuela,VEN,1991,107.801.544,13.443.204,5.961.274,15.837.749
Vietnam,VNM,1991,37.158.924,14.064.363,23.951.437,14.941.841
Western Africa (FAO),0,1991,39.48,170.48,451.44,1640.64
Western Asia (FAO),0,1991,96,260.04,69.677.997,2051.18
Western Europe (FAO),0,1991,268.2,147.12,1351.89,16.527.898
World,OWID_WRL,1991,98.687.904,1.779.773,5.930.441,16.940.865
Yemen,YEM,1991,40.392.483,15.622.229,31.002.924,13.017.485
Yugoslavia,OWID_YGS,1991,14.981.113,24.337.376,93.983.514,20.815.015
Zambia,ZMB,1991,43.655.556,16.572.792,26.713.528,15.696.213
Zimbabwe,ZWE,1991,3.714.937,16.804.091,454.511,13.704.828
Afghanistan,AFG,1992,6.845.611,18.227.469,39.290.094,15.225.414
Africa,0,1992,48.382.206,1.831.111,42.443.085,16.516.649
Africa (FAO),0,1992,50.68,184.32,432.81,1652.19
Albania,ALB,1992,11.706.539,23.847.118,656.38,17.571.704
Algeria,DZA,1992,7.629.996,23.865.868,67.363.635,1.960.709
Americas (FAO),0,1992,181.88,154.92,90.072.003,1770.48
Angola,AGO,1992,38.846.897,7.940.097,3.228.909,97.424.713
Antigua and Barbuda,ATG,1992,22.509.184,10.913.662,8.577.413,12.871.187
Argentina,ARG,1992,25.488.051,13.628.777,9.964.246,16.851.132
Armenia,ARM,1992,730.989,172.288,2.734.551,15.884.438
Asia,0,1992,6.286.513,1.881.996,45.776.025,17.247.383
Asia (FAO),0,1992,62.88,188.12,457.65,1724.35
Australia,AUS,1992,28.463.983,13.398.831,11.900.848,15.281.874
Austria,AUT,1992,27.207.108,14.144.514,14.446.615,16.680.465
Azerbaijan,AZE,1992,7.919.561,19.137.965,3.430.445,16.460.483
Bahamas,BHS,1992,1.741.751,103.161.766,7.066.995,1.377.138
Bangladesh,BGD,1992,20.774.132,16.049.431,19.833.435,17.533.833
Barbados,BRB,1992,1.862.724,14.394.688,93.968.665,17.219.668
Belarus,BLR,1992,2.046.354,1.737.892,8.146.809,18.435.022
Belgium-Luxembourg (FAO),0,1992,262.52,166.04,14.189.401,1801.5
Belize,BLZ,1992,1.044.716,16.652.339,6.715.241,1.831.163
Benin,BEN,1992,3.168.989,17.267.838,34.400.674,15.623.135
Bermuda,BMU,1992,2.720.691,1.417.935,11.744.241,1.519.488
Bolivia,BOL,1992,7.286.359,13.008.327,3.606.574,1.384.177
Bosnia and Herzegovina,BIH,1992,630.984,20.165.907,29.772.134,17.135.984
Botswana,BWA,1992,12.349.468,1.579.775,53.438.055,14.558.059
Brazil,BRA,1992,122.527.466,14.834.987,7.216.587,17.552.686
Brunei,BRN,1992,14.361.456,16.224.289,6.285.295,18.412.726
Bulgaria,BGR,1992,15.609.764,18.940.167,9.206.826,17.507.476
Burkina Faso,BFA,1992,36.573.704,23.013.539,39.907.568,15.542.468
Cambodia,KHM,1992,3.453.344,15.229.927,2.315.701,16.193.903
Cameroon,CMR,1992,47.733.116,16.679.158,38.971.494,16.252.471
Canada,CAN,1992,22.689.085,15.688.751,1.191.477,15.168.926
Cape Verde,CPV,1992,94.405.075,15.835.939,7.091.394,14.639.161
Caribbean (FAO),0,1992,80,130.44,474.12,1560.44
Central African Republic,CAF,1992,6.037.277,10.854.861,5.291.286,12.436.687
Central America (FAO),0,1992,110.64,185.72,658.17,1866.43
Central Asia (FAO),0,1992,124.2,198.64,63.989.996,17.382.601
Chad,TCD,1992,5.233.778,17.189.803,4.606.308,11.445.417
Chile,CHL,1992,125.024,16.512.079,62.651.227,17.763.513
China,CHN,1992,62.869.843,20.145.085,49.655.832,17.263.685
China (FAO),0,1992,64.8,198.24,50.444.998,1700.51
Colombia,COL,1992,10.486.703,12.885.062,5.414.663,19.137.926
Congo,COG,1992,8.661.093,109.250.145,48.570.676,1.323.278
Costa Rica,CRI,1992,13.267.221,12.266.436,66.580.457,17.171.549
Cote d'Ivoire,CIV,1992,61.737.167,15.926.576,43.143.387,19.592.473
Croatia,HRV,1992,11.878.403,11.870.419,6.143.661,14.551.741
Cuba,CUB,1992,89.944.756,13.459.789,47.379.614,17.986.857
Cyprus,CYP,1992,19.909.486,15.204.901,94.173.724,14.616.729
Czechoslovakia,OWID_CZS,1992,19.247.696,15.707.016,10.405.999,17.714.602
Denmark,DNK,1992,27.344.382,14.283.664,12.677.251,1.651.114
Djibouti,DJI,1992,45.741.196,10.101.013,2.572.488,11.159.965
Dominica,DMA,1992,17.651.668,13.757.375,7.382.213,18.971.641
Dominican Republic,DOM,1992,8.645.165,1.049.683,5.656.411,14.164.121
East Timor,TLS,1992,814.339,14.766.571,33.187.808,14.789.785
Eastern Africa (FAO),0,1992,38.32,155,289.44,1386.28
Eastern Asia (FAO),0,1992,79.96,196.12,526.23,17.186.901
Eastern Europe (FAO),0,1992,183.68,185.88,821.79,18.796.499
Ecuador,ECU,1992,8.754.776,11.372.664,6.750.188,13.774.595
Egypt,EGY,1992,49.974.617,27.976.443,47.726.923,2.282.349
El Salvador,SLV,1992,60.745.758,17.866.399,45.371.722,16.989.852
Estonia,EST,1992,28.289.062,124.815.155,680.996,13.989.403
Eswatini,SWZ,1992,71.959.274,15.848.312,42.044.943,16.280.146
Ethiopia (former),OWID_ERE,1992,28.699.614,16.210.506,21.783.255,12.080.939
Europe,0,1992,21.702.704,1.735.469,1.082.408,17.677.216
Europe (FAO),0,1992,217.16,173.04,10.846.799,17.641.201
European Union (27),0,1992,24.179.973,16.864.156,12.398.688,17.287.202
European Union (27) (FAO),0,1992,241.12,167.72,12.383.099,17.218.099
Fiji,FJI,1992,11.236.682,14.285.072,8.623.804,14.722.097
Finland,FIN,1992,24.589.229,14.515.474,11.653.821,16.290.663
France,FRA,1992,31.234.726,15.282.588,14.941.362,16.192.932
French Polynesia,PYF,1992,20.631.325,1.271.257,868.935,14.390.405
Gabon,GAB,1992,15.160.481,13.492.673,42.448.193,16.953.662
Gambia,GMB,1992,3.644.713,15.100.517,5.277.965,14.566.245
Georgia,GEO,1992,7.407.816,16.493.106,2.890.885,14.391.571
Germany,DEU,1992,23.354.279,14.736.359,13.381.796,17.329.672
Ghana,GHA,1992,6.039.602,11.282.815,3.067.622,15.376.598
Greece,GRC,1992,23.243.669,21.197.057,13.002.112,18.162.104
Grenada,GRD,1992,14.309.933,11.257.506,66.986.383,14.319.341
Guatemala,GTM,1992,4.247.756,18.492.519,3.545.534,16.362.513
Guinea,GIN,1992,2.728.217,18.447.003,45.311.267,17.489.369
Guinea-Bissau,GNB,1992,4.027.158,1.526.322,5.957.654,16.819.734
Guyana,GUY,1992,10.729.528,1.518.205,3.555.709,17.279.917
Haiti,HTI,1992,2.431.826,14.964.766,26.831.216,1.328.231
High-income countries,0,1992,23.755.453,16.598.552,11.397.377,17.610.117
Honduras,HND,1992,6.576.125,14.978.522,5.223.192,15.120.144
